PDB_file, description
il1r1-multiseed_seed-5_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=5 sample=2 template=off
il1r1-multiseed_seed-5_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=5 sample=3 template=off
il1r1-multiseed_seed-5_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=5 sample=4 template=off
il1r1-multiseed_seed-6_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=6 sample=0 template=off
il1r1-multiseed_seed-6_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=6 sample=1 template=off
il1r1-multiseed_seed-6_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=6 sample=2 template=off
il1r1-multiseed_seed-6_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=6 sample=3 template=off
il1r1-multiseed_seed-6_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=6 sample=4 template=off
il1r1-multiseed_seed-7_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=7 sample=0 template=off
il1r1-multiseed_seed-7_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=7 sample=1 template=off
il1r1-multiseed_seed-7_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=7 sample=2 template=off
il1r1-multiseed_seed-7_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=7 sample=3 template=off
il1r1-multiseed_seed-7_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=7 sample=4 template=off
il1r1-multiseed_seed-8_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=8 sample=0 template=off
il1r1-multiseed_seed-8_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=8 sample=1 template=off
il1r1-multiseed_seed-8_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=8 sample=2 template=off
il1r1-multiseed_seed-8_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=8 sample=3 template=off
il1r1-multiseed_seed-8_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=8 sample=4 template=off
il1r1-multiseed_seed-9_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=9 sample=0 template=off
il1r1-multiseed_seed-9_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=9 sample=1 template=off
il1r1-multiseed_seed-9_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=9 sample=2 template=off
il1r1-multiseed_seed-9_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=9 sample=3 template=off
il1r1-multiseed_seed-9_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=9 sample=4 template=off
il1r1-multiseed_seed-10_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=10 sample=0 template=off
il1r1-multiseed_seed-10_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=10 sample=1 template=off
il1r1-multiseed_seed-10_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=10 sample=2 template=off
il1r1-multiseed_seed-10_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=10 sample=3 template=off
il1r1-multiseed_seed-10_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=10 sample=4 template=off
il1r1-multiseed_seed-11_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=11 sample=0 template=off
il1r1-multiseed_seed-11_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=11 sample=1 template=off
il1r1-multiseed_seed-11_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=11 sample=2 template=off
il1r1-multiseed_seed-11_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=11 sample=3 template=off
il1r1-multiseed_seed-11_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=11 sample=4 template=off
il1r1-multiseed_seed-12_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=12 sample=0 template=off
il1r1-multiseed_seed-12_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=12 sample=1 template=off
il1r1-multiseed_seed-12_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=12 sample=2 template=off
il1r1-multiseed_seed-12_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=12 sample=3 template=off
il1r1-multiseed_seed-12_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=12 sample=4 template=off
il1r1-multiseed_seed-13_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=13 sample=0 template=off
il1r1-multiseed_seed-13_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=13 sample=1 template=off
il1r1-multiseed_seed-13_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=13 sample=2 template=off
il1r1-multiseed_seed-13_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=13 sample=3 template=off
il1r1-multiseed_seed-13_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=13 sample=4 template=off
il1r1-multiseed_seed-14_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=14 sample=0 template=off
il1r1-multiseed_seed-14_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=14 sample=1 template=off
il1r1-multiseed_seed-14_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=14 sample=2 template=off
il1r1-multiseed_seed-14_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=14 sample=3 template=off
il1r1-multiseed_seed-14_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=14 sample=4 template=off
il1r1-multiseed_seed-15_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=15 sample=0 template=off
il1r1-multiseed_seed-15_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=15 sample=1 template=off
il1r1-multiseed_seed-15_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=15 sample=2 template=off
il1r1-multiseed_seed-15_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=15 sample=3 template=off
il1r1-multiseed_seed-15_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=15 sample=4 template=off
il1r1-multiseed_seed-16_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=16 sample=0 template=off
il1r1-multiseed_seed-16_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=16 sample=1 template=off
il1r1-multiseed_seed-16_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=16 sample=2 template=off
il1r1-multiseed_seed-16_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=16 sample=3 template=off
il1r1-multiseed_seed-16_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=16 sample=4 template=off
il1r1-multiseed_seed-17_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=17 sample=0 template=off
il1r1-multiseed_seed-17_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=17 sample=1 template=off
il1r1-multiseed_seed-17_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=17 sample=2 template=off
il1r1-multiseed_seed-17_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=17 sample=3 template=off
il1r1-multiseed_seed-17_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=17 sample=4 template=off
il1r1-multiseed_seed-18_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=18 sample=0 template=off
il1r1-multiseed_seed-18_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=18 sample=1 template=off
il1r1-multiseed_seed-18_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=18 sample=2 template=off
il1r1-multiseed_seed-18_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=18 sample=3 template=off
il1r1-multiseed_seed-18_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=18 sample=4 template=off
il1r1-multiseed_seed-19_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=19 sample=0 template=off
il1r1-multiseed_seed-19_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=19 sample=1 template=off
il1r1-multiseed_seed-19_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=19 sample=2 template=off
il1r1-multiseed_seed-19_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=19 sample=3 template=off
il1r1-multiseed_seed-19_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=19 sample=4 template=off
il1r1-multiseed_seed-20_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=20 sample=0 template=off
il1r1-multiseed_seed-20_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=20 sample=1 template=off
il1r1-multiseed_seed-20_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=20 sample=2 template=off
il1r1-multiseed_seed-20_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=20 sample=3 template=off
il1r1-multiseed_seed-20_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=20 sample=4 template=off
il1r1-multiseed_seed-21_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=21 sample=0 template=off
il1r1-multiseed_seed-21_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=21 sample=1 template=off
il1r1-multiseed_seed-21_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=21 sample=2 template=off
il1r1-multiseed_seed-21_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=21 sample=3 template=off
il1r1-multiseed_seed-21_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=21 sample=4 template=off
il1r1-multiseed_seed-22_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=22 sample=0 template=off
il1r1-multiseed_seed-22_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=22 sample=1 template=off
il1r1-multiseed_seed-22_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=22 sample=2 template=off
il1r1-multiseed_seed-22_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=22 sample=3 template=off
il1r1-multiseed_seed-22_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=22 sample=4 template=off
il1r1-multiseed_seed-23_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=23 sample=0 template=off
il1r1-multiseed_seed-23_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=23 sample=1 template=off
il1r1-multiseed_seed-23_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=23 sample=2 template=off
il1r1-multiseed_seed-23_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=23 sample=3 template=off
il1r1-multiseed_seed-23_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=23 sample=4 template=off
il1r1-multiseed_seed-24_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=24 sample=0 template=off
il1r1-multiseed_seed-24_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=24 sample=1 template=off
il1r1-multiseed_seed-24_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=24 sample=2 template=off
il1r1-multiseed_seed-24_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=24 sample=3 template=off
il1r1-multiseed_seed-24_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=24 sample=4 template=off
il1r1-multiseed_seed-25_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=25 sample=0 template=off
il1r1-multiseed_seed-25_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=25 sample=1 template=off
il1r1-multiseed_seed-25_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=25 sample=2 template=off
il1r1-multiseed_seed-25_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=25 sample=3 template=off
il1r1-multiseed_seed-25_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=25 sample=4 template=off
il1r1-multiseed_seed-26_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=26 sample=0 template=off
il1r1-multiseed_seed-26_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=26 sample=1 template=off
il1r1-multiseed_seed-26_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=26 sample=2 template=off
il1r1-multiseed_seed-26_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=26 sample=3 template=off
il1r1-multiseed_seed-26_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=26 sample=4 template=off
il1r1-multiseed_seed-27_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=27 sample=0 template=off
il1r1-multiseed_seed-27_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=27 sample=1 template=off
il1r1-multiseed_seed-27_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=27 sample=2 template=off
il1r1-multiseed_seed-27_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=27 sample=3 template=off
il1r1-multiseed_seed-27_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=27 sample=4 template=off
il1r1-multiseed_seed-28_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=28 sample=0 template=off
il1r1-multiseed_seed-28_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=28 sample=1 template=off
il1r1-multiseed_seed-28_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=28 sample=2 template=off
il1r1-multiseed_seed-28_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=28 sample=3 template=off
il1r1-multiseed_seed-28_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=28 sample=4 template=off
il1r1-multiseed_seed-29_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=29 sample=0 template=off
il1r1-multiseed_seed-29_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=29 sample=1 template=off
il1r1-multiseed_seed-29_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=29 sample=2 template=off
il1r1-multiseed_seed-29_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=29 sample=3 template=off
il1r1-multiseed_seed-29_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=29 sample=4 template=off
il1r1-multiseed_seed-30_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=30 sample=0 template=off
il1r1-multiseed_seed-30_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=30 sample=1 template=off
il1r1-multiseed_seed-30_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=30 sample=2 template=off
il1r1-multiseed_seed-30_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=30 sample=3 template=off
il1r1-multiseed_seed-30_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=30 sample=4 template=off
il1r1-multiseed_seed-31_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=31 sample=0 template=off
il1r1-multiseed_seed-31_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=31 sample=1 template=off
il1r1-multiseed_seed-31_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=31 sample=2 template=off
il1r1-multiseed_seed-31_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=31 sample=3 template=off
il1r1-multiseed_seed-31_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=31 sample=4 template=off
il1r1-multiseed_seed-32_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=32 sample=0 template=off
il1r1-multiseed_seed-32_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=32 sample=1 template=off
il1r1-multiseed_seed-32_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=32 sample=2 template=off
il1r1-multiseed_seed-32_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=32 sample=3 template=off
il1r1-multiseed_seed-32_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=32 sample=4 template=off
il1r1-multiseed_seed-33_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=33 sample=0 template=off
il1r1-multiseed_seed-33_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=33 sample=1 template=off
il1r1-multiseed_seed-33_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=33 sample=2 template=off
il1r1-multiseed_seed-33_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=33 sample=3 template=off
il1r1-multiseed_seed-33_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=33 sample=4 template=off
il1r1-multiseed_seed-34_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=34 sample=0 template=off
il1r1-multiseed_seed-34_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=34 sample=1 template=off
il1r1-multiseed_seed-34_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=34 sample=2 template=off
il1r1-multiseed_seed-34_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=34 sample=3 template=off
il1r1-multiseed_seed-34_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=34 sample=4 template=off
il1r1-multiseed_seed-35_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=35 sample=0 template=off
il1r1-multiseed_seed-35_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=35 sample=1 template=off
il1r1-multiseed_seed-35_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=35 sample=2 template=off
il1r1-multiseed_seed-35_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=35 sample=3 template=off
il1r1-multiseed_seed-35_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=35 sample=4 template=off
il1r1-multiseed_seed-36_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=36 sample=0 template=off
il1r1-multiseed_seed-36_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=36 sample=1 template=off
il1r1-multiseed_seed-36_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=36 sample=2 template=off
il1r1-multiseed_seed-36_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=36 sample=3 template=off
il1r1-multiseed_seed-36_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=36 sample=4 template=off
il1r1-multiseed_seed-37_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=37 sample=0 template=off
il1r1-multiseed_seed-37_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=37 sample=1 template=off
il1r1-multiseed_seed-37_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=37 sample=2 template=off
il1r1-multiseed_seed-37_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=37 sample=3 template=off
il1r1-multiseed_seed-37_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=37 sample=4 template=off
il1r1-multiseed_seed-38_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=38 sample=0 template=off
il1r1-multiseed_seed-38_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=38 sample=1 template=off
il1r1-multiseed_seed-38_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=38 sample=2 template=off
il1r1-multiseed_seed-38_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=38 sample=3 template=off
il1r1-multiseed_seed-38_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=38 sample=4 template=off
il1r1-multiseed_seed-39_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=39 sample=0 template=off
il1r1-multiseed_seed-39_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=39 sample=1 template=off
il1r1-multiseed_seed-39_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=39 sample=2 template=off
il1r1-multiseed_seed-39_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=39 sample=3 template=off
il1r1-multiseed_seed-39_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=39 sample=4 template=off
il1r1-multiseed_seed-40_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=40 sample=0 template=off
il1r1-multiseed_seed-40_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=40 sample=1 template=off
il1r1-multiseed_seed-40_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=40 sample=2 template=off
il1r1-multiseed_seed-40_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=40 sample=3 template=off
il1r1-multiseed_seed-40_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=40 sample=4 template=off
il1r1-multiseed_seed-41_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=41 sample=0 template=off
il1r1-multiseed_seed-41_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=41 sample=1 template=off
il1r1-multiseed_seed-41_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=41 sample=2 template=off
il1r1-multiseed_seed-41_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=41 sample=3 template=off
il1r1-multiseed_seed-41_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=41 sample=4 template=off
il1r1-multiseed_seed-42_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=42 sample=0 template=off
il1r1-multiseed_seed-42_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=42 sample=1 template=off
il1r1-multiseed_seed-42_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=42 sample=2 template=off
il1r1-multiseed_seed-42_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=42 sample=3 template=off
il1r1-multiseed_seed-42_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=42 sample=4 template=off
il1r1-multiseed_seed-43_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=43 sample=0 template=off
il1r1-multiseed_seed-43_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=43 sample=1 template=off
il1r1-multiseed_seed-43_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=43 sample=2 template=off
il1r1-multiseed_seed-43_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=43 sample=3 template=off
il1r1-multiseed_seed-43_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=43 sample=4 template=off
il1r1-multiseed_seed-44_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=44 sample=0 template=off
il1r1-multiseed_seed-44_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=44 sample=1 template=off
il1r1-multiseed_seed-44_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=44 sample=2 template=off
il1r1-multiseed_seed-44_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=44 sample=3 template=off
il1r1-multiseed_seed-44_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=44 sample=4 template=off
il1r1-multiseed_seed-45_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=45 sample=0 template=off
il1r1-multiseed_seed-45_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=45 sample=1 template=off
il1r1-multiseed_seed-45_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=45 sample=2 template=off
il1r1-multiseed_seed-45_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=45 sample=3 template=off
il1r1-multiseed_seed-45_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=45 sample=4 template=off
il1r1-multiseed_seed-46_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=46 sample=0 template=off
il1r1-multiseed_seed-46_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=46 sample=1 template=off
il1r1-multiseed_seed-46_sample-2_model.pdb, tool=af3 msa=il1r1_0.a3m seed=46 sample=2 template=off
il1r1-multiseed_seed-46_sample-3_model.pdb, tool=af3 msa=il1r1_0.a3m seed=46 sample=3 template=off
il1r1-multiseed_seed-46_sample-4_model.pdb, tool=af3 msa=il1r1_0.a3m seed=46 sample=4 template=off
il1r1-multiseed_seed-47_sample-0_model.pdb, tool=af3 msa=il1r1_0.a3m seed=47 sample=0 template=off
il1r1-multiseed_seed-47_sample-1_model.pdb, tool=af3 msa=il1r1_0.a3m seed=47 sample=1 template=off
